,name,starmeter,known_for,relationship,x,y,Circley,Marvel,size
0,Chris Evans,142,The Avengers,100,0,0,0,1,10
1,Chris Hemsworth,282,The Avengers,81,7,0,0,1,9
2,Mark Ruffalo,784,The Kids Are All Right,64,14,0,0,1,8
3,Scarlett Johansson,81,Her,49,21,0,0,1,7
4,Tom Holland,162,Spider-Man: Homecoming,36,28,0,0,1,6
5,Jeremy Renner,864,The Hurt Locker,25,35,0,0,1,5
6,Benedict Cumberbatch,355,The Imitation Game,16,42,0,0,1,4
7,Tom Hiddleston,515,The Avengers,9,49,0,0,1,3
8,Elizabeth Olsen,479,Martha Marcy May Marlene,4,56,0,0,1,2
9,Gwyneth Paltrow,999,Shakespeare in Love,1,63,0,0,1,1
10,Robert Downey Jr,0,The Avengers,100,31,5,5,1,5
11,Robert Downey Jr,0,The Avengers,81,31,5,5,1,5
12,Robert Downey Jr,0,The Avengers,64,31,5,5,1,5
13,Robert Downey Jr,0,The Avengers,49,31,5,5,1,5
14,Robert Downey Jr,0,The Avengers,36,31,5,5,1,5
15,Robert Downey Jr,0,The Avengers,25,31,5,5,1,5
16,Robert Downey Jr,0,The Avengers,16,31,5,5,1,5
17,Robert Downey Jr,0,The Avengers,9,31,5,5,1,5
18,Robert Downey Jr,0,The Avengers,4,31,5,5,1,5
19,Robert Downey Jr,0,The Avengers,1,31,5,5,1,5
