Area,Total Gross,Average Gross,Opening Wknd Avg.
,(# of Titles),(# of Titles),(# of Titles)
US & Canada,"$5,893,164,206 (60)","$98,219,403 (60)","$35,182,985 (59)"
China,"$1,741,738,739 (9)","$193,526,527 (9)","$132,469,407 (4)"
United Kingdom,"$722,401,438 (28)","$25,800,051 (28)","$9,669,625 (26)"
South Korea,"$583,913,939 (18)","$32,439,663 (18)","$12,172,090 (17)"
Brazil,"$448,587,322 (19)","$23,609,859 (19)","$6,932,489 (17)"
Mexico,"$448,078,800 (24)","$18,669,950 (24)","$8,624,754 (19)"
Australia,"$400,277,158 (26)","$15,395,275 (26)","$5,788,090 (23)"
France,"$378,978,670 (23)","$16,477,333 (23)","$8,004,749 (18)"
Russia/CIS,"$325,667,659 (20)","$16,283,383 (20)","$7,286,999 (18)"
Germany,"$317,270,173 (22)","$14,421,372 (22)","$4,835,170 (21)"
Japan,"$312,145,615 (16)","$19,509,101 (16)","$4,087,385 (16)"
Italy,"$240,975,452 (26)","$9,268,287 (26)","$3,455,473 (25)"
Spain,"$206,150,386 (26)","$7,928,861 (26)","$3,002,200 (23)"
India,"$175,015,065 (13)","$13,462,697 (13)","$10,772,791 (6)"
Philippines,"$135,227,386 (17)","$7,954,552 (17)","$4,681,353 (13)"
Hong Kong,"$134,210,581 (19)","$7,063,715 (19)","$1,883,642 (13)"
Taiwan,"$132,125,614 (18)","$7,340,312 (18)","$2,387,097 (15)"
Indonesia,"$112,406,641 (11)","$10,218,786 (11)","$4,909,696 (9)"
Malaysia,"$106,046,623 (14)","$7,574,759 (14)","$3,026,724 (13)"
Thailand,"$101,208,084 (15)","$6,747,206 (15)","$3,039,687 (15)"
Argentina,"$96,632,309 (21)","$4,601,539 (21)","$1,762,767 (19)"
Singapore,"$87,225,708 (17)","$5,130,924 (17)","$1,841,694 (16)"
Chile,"$74,876,798 (20)","$3,743,840 (20)","$1,350,738 (15)"
Colombia,"$74,314,997 (17)","$4,371,470 (17)","$1,450,812 (16)"
Netherlands,"$71,336,567 (22)","$3,242,571 (22)","$1,007,799 (21)"
Venezuela,"$64,297,276 (17)","$3,782,193 (17)","$752,443 (16)"
Sweden,"$64,040,586 (19)","$3,370,557 (19)","$1,226,927 (16)"
United Arab Emirates,"$60,737,326 (21)","$2,892,254 (21)","$1,246,396 (20)"
Denmark,"$51,994,707 (16)","$3,249,669 (16)","$1,233,614 (12)"
Norway,"$50,910,427 (22)","$2,314,110 (22)","$601,276 (22)"
Belgium,"$49,273,140 (19)","$2,593,323 (19)","$804,653 (16)"
New Zealand,"$49,030,836 (22)","$2,228,674 (22)","$899,672 (21)"
Turkey,"$48,635,355 (22)","$2,210,698 (22)","$849,360 (20)"
Poland,"$47,465,713 (21)","$2,260,272 (21)","$791,768 (21)"
Austria,"$42,857,458 (20)","$2,142,873 (20)","$716,466 (16)"
South Africa,"$38,481,268 (20)","$1,924,063 (20)","$736,996 (17)"
Peru,"$32,560,712 (14)","$2,325,765 (14)","$960,055 (12)"
Greece,"$31,112,302 (22)","$1,414,196 (22)","$482,778 (21)"
Ukraine,"$27,984,288 (16)","$1,749,018 (16)","$652,573 (15)"
Portugal,"$27,761,909 (21)","$1,321,996 (21)","$483,441 (18)"
Switzerland,"$25,773,348 (12)","$2,147,779 (12)","$1,157,597 (6)"
Czech Republic,"$24,069,299 (16)","$1,504,331 (16)","$507,198 (16)"
Finland,"$23,168,049 (19)","$1,219,371 (19)","$457,139 (15)"
