,year,title,gross,is_marvel
0,2019,Avengers: Endgame,2800000000.0,1
2,2018,Avengers: Infinity War,2049999999.0,1
3,2017,Spider-Man: Homecoming,880000000.0,1
5,2016,Captain America: Civil War,1150000000.0,1
6,2015,Avengers: Age of Ultron,1400000000.0,1
8,2014,The Judge,84000000.0,0
9,2014,Chef,46000000.0,0
11,2013,Iron Man 3,1210000000.0,1
13,2012,The Avengers,1520000000.0,1
14,2011,Sherlock Holmes: A Game of Shadows,544000000.0,0
15,2011,Just Go with It,215000000.0,0
16,2010,Due Date,212000000.0,0
18,2010,Iron Man 2,624000000.0,1
20,2009,Sherlock Holmes,524000000.0,0
21,2009,The Soloist,38000000.0,0
22,2008,Tropic Thunder,188000000.0,0
24,2008,The Incredible Hulk,263000000.0,1
25,2008,Iron Man,585000000.0,1
26,2007,Charlie Bartlett,5300000.0,0
27,2007,Lucky You,8400000.0,0
28,2007,Zodiac,85000000.0,0
30,2006,A Guide to Recognizing Your Saints,2000000.0,0
31,2006,Fur: An Imaginary Portrait of Diane Arbus,2300000.0,0
32,2006,A Scanner Darkly,7700000.0,0
33,2006,The Shaggy Dog,87000000.0,0
34,2005,Kiss Kiss Bang Bang,16000000.0,0
35,2005,"Good Night, and Good Luck.",55000000.0,0
36,2005,Game 6,,0
37,2004,Eros,1500000.0,0
39,2003,Gothika,142000000.0,0
40,2003,The Singing Detective,,0
46,2000,Wonder Boys,33000000.0,0
47,1999,Black & White,5500000.0,0
48,1999,Bowfinger,99000000.0,0
49,1999,Friends & Lovers,,0
50,1999,In Dreams,12000000.0,0
51,1998,U.S. Marshals,102000000.0,0
52,1998,The Gingerbread Man,1700000.0,0
53,1997,Two Girls and a Guy,2100000.0,0
54,1997,Hugo Pool,,0
55,1997,One Night Stand,2600000.0,0
57,1995,Restoration,4000000.0,0
58,1995,Richard III,2700000.0,0
59,1995,Home for the Holidays,18000000.0,0
60,1994,Only You,20000000.0,0
61,1994,Natural Born Killers,50000000.0,0
63,1993,Short Cuts,6100000.0,0
64,1993,The Last Party,,0
65,1993,Heart and Souls,17000000.0,0
66,1992,Chaplin,9500000.0,0
67,1991,Soapdish,36000000.0,0
69,1990,Air America,33000000.0,0
71,1989,Chances Are,16000000.0,0
72,1989,True Believer,8700000.0,0
73,1969,1969,6000000.0,0
75,1988,Johnny Be Good,18000000.0,0
77,1987,Less Than Zero,12000000.0,0
78,1987,The Pick-up Artist,13000000.0,0
80,1986,Back to School,91000000.0,0
81,1985,Weird Science,39000000.0,0
82,1985,Girls Just Want to Have Fun,6300000.0,0
83,1985,Tuff Turf,9400000.0,0
85,1984,Firstborn,6300000.0,0
86,1983,Baby It's You,1900000.0,0
