,Name,2018
1,Afghanistan,198.0862633
2,Angola,1983.613748
3,Albania,180.48872509999998
7,Argentina,4144.991771
8,Armenia,608.8546499
11,Australia,26711.834225
12,Austria,3367.460383
13,Azerbaijan,1708.941176
14,Burundi,65.43659526
15,Belgium,4959.692173
16,Benin,90.21242599
17,Burkina Faso,312.467611
18,Bangladesh,3894.695211
19,Bulgaria,1095.591047
20,Bahrain,1396.808511
22,Bosnia and Herzegovina,221.1315971
23,Belarus,715.1666887
24,Belize,23.0831125
26,Bolivia,618.8420831
27,Brazil,27766.427104
29,Brunei Darussalam,346.588691
31,Botswana,529.481042
32,Central African Republic,30.95130132
33,Canada,21620.598712
35,Switzerland,4795.847181
37,Chile,5570.724563
38,China,250000.0
39,Cote d'Ivoire,607.8482179
40,Cameroon,429.8921806
41,"Congo, Dem. Rep.",295.3483646
42,"Congo, Rep.",292.2604653
43,Colombia,10602.860967
45,Cabo Verde,10.71407113
46,Costa Rica,0.0
51,Cyprus,381.8797729
52,Czech Republic,2710.017583
53,Germany,49470.627811
56,Denmark,4228.194254
57,Dominican Republic,602.522387
58,Algeria,9583.724288
64,Ecuador,2549.4
65,Egypt,3109.997892
68,Spain,18248.291491
69,Estonia,618.4861254
70,Ethiopia,496.62106969999996
73,Finland,3849.013845
74,Fiji,48.41217469
75,France,63799.676593
78,Gabon,261.2173951
79,United Kingdom,49997.192521
80,Georgia,316.50836810000004
81,Ghana,218.4442536
83,Guinea,209.1505783
84,Gambia,11.487224939999999
87,Greece,5227.152013
90,Guatemala,278.4208915
92,Guyana,59.8094266
95,Honduras,410.4148951
97,Croatia,889.5233652999999
98,Haiti,0.07969088817
99,Hungary,1642.33844
104,Indonesia,7437.197348
107,India,66510.289108
109,Ireland,1207.582357
110,Iran,13194.151137
111,Iraq,6317.97715
112,Iceland,0.0
113,Israel,15946.788601
114,Italy,27807.513898
115,Jamaica,207.7726858
116,Jordan,1957.746479
117,Japan,46617.954864
118,Kazakhstan,1613.589333
119,Kenya,1097.458153
120,Kyrgyz Republic,121.1636199
121,Cambodia,543.2051832999999
124,South Korea,43069.973343
125,Kuwait,7296.266526
128,Lebanon,2775.557816
129,Liberia,15.7865
136,Sri Lanka,1681.433577
139,Lesotho,51.06434775
141,Lithuania,1030.41677
142,Luxembourg,419.3726548
143,Latvia,679.8626111
146,Morocco,3696.856945
148,Moldova,33.9577191
149,Madagascar,73.25842524
152,Mexico,6567.509336
155,North Macedonia,117.3839855
156,Mali,495.165301
157,Malta,69.28460985
158,Myanmar,2030.465547
160,Montenegro,83.80605031
161,Mongolia,96.06748986
163,Mozambique,145.20680190000002
164,Mauritania,159.013353
165,Mauritius,23.202895559999998
166,Malawi,58.36917344
167,Malaysia,3469.828207
169,Namibia,451.5465088
171,Niger,229.6399061
172,Nigeria,2043.051719
173,Nicaragua,81.59393269
174,Netherlands,11242.755804
175,Norway,7067.073381
176,Nepal,398.5215449
178,New Zealand,2262.928312
180,Oman,6710.013004
182,Pakistan,11375.525626
183,Panama,0.0
184,Peru,2708.91228
185,Philippines,3769.741011
187,Papua New Guinea,60.59281914
188,Poland,11596.155291
192,Portugal,4247.842971
193,Paraguay,386.55638960000005
199,Romania,4608.67355
200,Russian Federation,61387.54698
201,Rwanda,118.959174
203,Saudi Arabia,67554.666667
204,Sudan,1047.87872
205,Senegal,346.7729746
206,Singapore,10841.000269
208,Sierra Leone,29.622478100000002
209,El Salvador,266.46
211,Somalia,61.556
212,Serbia,904.3233915
214,South Sudan,59.3530543
219,Slovak Republic,1280.643981
220,Slovenia,529.4961227
221,Sweden,5755.367603
222,Eswatini,87.78707856999999
224,Seychelles,22.823282539999997
227,Chad,232.93098980000002
230,Togo,104.3789946
231,Thailand,6829.203403
235,Timor-Leste,20.61
240,Trinidad and Tobago,169.33246780000002
241,Tunisia,844.2273671
242,Turkey,18967.113031
244,Tanzania,675.4752341000001
245,Uganda,408.3675667
246,Ukraine,4750.219044
248,Uruguay,1168.130814
249,United States,649000.0
255,Vietnam,5500.0
259,Kosovo,63.344074219999996
261,South Africa,3639.879165
262,Zambia,378.025431
263,Zimbabwe,420.364
