,249
1960,5433.0
1961,5633.0
1962,6051.0
1963,6386.0
1964,6858.0
1965,7437.0
1966,8150.0
1967,8617.0
1968,9425.0
1969,10199.0
1970,10733.03
1971,11648.5
1972,12791.1
1973,14253.76
1974,15452.43
1975,16849.04
1976,18734.12
1977,20818.26
1978,23515.99
1979,26273.34
1980,28573.07
1981,32070.42
1982,33437.89
1983,36340.38
1984,40376.13
1985,43389.79
1986,45796.31
1987,48552.15
1988,52364.38
1989,56415.8
1990,59631.44
1991,61581.29
1992,65203.27
1993,68585.59
1994,72872.36
1995,76397.49
1996,80731.22
1997,85775.54463
1998,90628.18211
1999,96306.64202
2000,102523.45464
2001,105818.21399
2002,109364.19054
2003,114582.43878
2004,122137.29147
2005,130366.40229
2006,138146.11414
2007,144518.5865
2008,147128.44084
2009,144489.33025
2010,149920.52727
2011,155425.81104
2012,161970.07349
2013,167848.4919
2014,175217.46534
2015,182192.97584
2016,187071.88235
2017,194853.93853
2018,204941.0
