,USA
1960,0.4538
1961,0.47808
1962,0.52381
1963,0.52295
1964,0.51213
1965,0.51827
1966,0.63572
1967,0.75448
1968,0.80732
1969,0.81443
1970,0.79846
1971,0.74862
1972,0.77639
1973,0.78358
1974,0.85906
1975,0.884
1976,0.91013
1977,1.01
1978,1.09
1979,1.22
1980,1.38
1981,1.7
1982,2.14
1983,2.14
1984,2.31
1985,2.58
1986,2.81
1987,2.88
1988,2.93
1989,3.04
1990,3.06
1991,2.8
1992,3.05
1993,2.98
1994,2.88
1995,2.79
1996,2.71
1997,2.76
1998,2.74
1999,2.81
2000,3.02
2001,3.13
2002,3.57
2003,4.15
2004,4.65
2005,5.03
2006,5.28
2007,5.57
2008,6.21
2009,6.69
2010,6.98
2011,7.11
2012,6.85
2013,6.4
2014,6.1
2015,5.96
2016,6.0
2017,6.06
2018,6.49
