,Afghanistan,Libya,Pakistan,Syrian Arab Republic,"Yemen, Rep."
2000,,38270206950.41,73952374969.7995,19325894913.1254,9652436179.64605
2001,,34110064452.1567,72309738921.3329,21099833783.503002,9861560094.740091
2002,4055176933.36905,20481889763.7795,72306820396.2325,21582248881.6592,10694628091.6726
2003,4515563413.82564,26265625000.0,83244801092.7096,21828144686.0394,11777966673.3897
2004,5226775163.30205,33122307692.3077,97977766197.6724,25086930693.0693,13872791658.5487
2005,6209140044.00519,47334148578.4164,109502102510.88301,28858965517.2414,16746344766.2044
2006,6971286731.72065,54961936662.6066,137264061106.04301,33332844574.7801,19061978586.1278
2007,9747886104.532509,67516236337.7158,152385716311.916,40405006007.2086,21650532264.2322
2008,10109218067.7904,87140405361.2292,170077814106.305,,26910851361.7555
2009,12439087076.7667,63028320702.0343,168152775283.03198,,25130274124.2524
2010,15856574731.4411,74773444900.5368,177406854514.885,,30906749533.221
2011,17804280538.1102,34699395523.6073,213587413183.996,,32726417878.391003
2012,20001615788.6719,81873662518.8238,224383620829.57,,35401339869.3055
2013,20561054090.3995,65502870173.7831,231218567178.97897,,40415233436.1767
2014,20484873230.2111,41142722414.3351,244360888750.807,,43228585321.3272
2015,19907111418.9938,27842131479.8726,270556126820.064,,42628328212.1041
2016,19362642266.6484,26221660067.6697,278654637737.69,,30968242967.7823
2017,20191764940.1602,38115981878.5647,304951818494.06604,,26818703092.5852
2018,19362969582.3643,48319620013.077995,312570060548.453,,26914402223.7828
